Time (s),RAM (MB),CPU1 (%),CPU2 (%),CPU3 (%),CPU4 (%)
1,204.0,0.0,0.0,0.0,0.0
2,204.0,0.0,0.0,0.0,0.0
3,204.0,0.0,0.0,0.0,0.0
4,204.0,0.0,0.0,0.0,0.0
5,204.0,0.0,0.0,0.0,0.0
6,204.0,0.0,0.0,0.0,0.0
7,204.0,0.0,1.0,0.0,0.0
8,204.0,0.0,0.0,0.0,0.0
9,204.0,0.0,0.0,0.0,1.0
10,204.0,0.0,0.0,0.0,0.0
11,204.0,1.0,1.0,1.0,0.0
12,204.0,0.0,0.0,0.0,0.0
13,204.0,0.0,0.0,0.0,0.0
14,204.0,0.0,0.0,0.0,0.0
15,204.0,0.0,1.0,1.0,0.0
16,204.0,0.0,0.0,0.0,0.0
17,204.0,0.0,0.0,0.0,0.0
18,204.0,0.0,0.0,0.0,0.0
19,205.0,0.0,2.0,0.0,0.0
20,235.0,7.1,99.0,8.0,8.0
21,265.0,0.0,100.0,0.0,0.0
22,284.0,0.0,100.0,0.0,0.0
23,305.0,0.0,100.0,0.0,0.0
24,323.0,0.0,100.0,0.0,0.0
25,340.0,0.0,100.0,0.0,0.0
26,359.0,0.0,100.0,0.0,0.0
27,370.0,0.0,100.0,0.0,0.0
28,385.0,3.0,100.0,1.0,2.0
29,436.0,2.9,100.0,2.0,2.0
30,454.0,0.0,100.0,0.0,0.0
31,452.0,0.0,100.0,0.0,0.0
32,479.0,56.1,84.7,50.0,56.6
33,483.0,77.1,77.2,74.7,76.0
34,483.0,78.4,81.0,74.3,74.5
35,483.0,76.2,76.8,77.3,75.8
36,489.0,75.8,78.4,72.2,76.8
37,489.0,71.6,74.5,74.0,80.0
38,489.0,72.0,74.3,76.2,82.0
39,491.0,74.2,71.9,76.8,81.6
40,491.0,71.9,72.2,82.8,74.7
41,493.0,74.7,72.8,73.7,82.0
42,493.0,74.2,71.6,73.5,77.6
43,493.0,72.9,76.0,80.2,74.0
44,493.0,74.0,76.8,75.5,80.4
45,493.0,69.5,75.8,73.2,87.1
46,493.0,69.3,72.5,76.5,80.6
47,493.0,75.5,72.3,78.1,74.0
48,493.0,75.0,73.8,77.3,72.7
49,493.0,70.7,77.3,78.8,74.5
50,493.0,71.7,78.4,79.6,69.0
51,493.0,70.0,79.4,72.2,78.8
52,493.0,72.7,73.5,76.0,83.8
53,493.0,71.9,73.5,83.3,73.7
54,493.0,71.4,72.2,82.7,77.2
55,493.0,69.4,72.9,81.4,70.1
56,493.0,69.7,76.8,78.1,77.8
57,493.0,72.4,75.8,77.3,79.2
58,493.0,73.2,76.3,73.2,80.2
59,493.0,71.7,83.5,73.0,78.2
60,493.0,69.7,84.0,74.2,73.5
61,493.0,78.3,76.3,70.8,74.0
62,493.0,77.6,79.0,73.5,72.2
63,493.0,71.4,75.5,84.0,69.0
64,493.0,74.8,74.0,74.5,82.5
65,493.0,71.3,74.0,77.9,79.4
66,493.0,73.3,74.0,84.4,71.7
67,493.0,47.9,47.5,49.0,86.3
68,514.0,9.0,11.0,12.9,95.0
69,516.0,78.0,75.5,73.0,79.8
70,516.0,73.5,78.0,69.0,81.0
