Relative Time (Process),CPU Usage (%)
14.74890971,32.1
22.64593291,95.1
43.18738437,61.8
53.46170831,63.8
60.04894924,89.8
67.20046329,92
77.47506237,65.2
84.12647438,89.9
94.39881754,65.4
101.5620337,91.6
111.8370719,63.8
122.1113932,63
132.3850007,63.3
142.6578665,63.4
152.9407954,60.2
159.8750618,91.7
170.1462593,64.3
176.9549949,92.1
187.2519219,66.9
197.5303864,64.5
207.8004818,64.2
214.8980556,92.3
225.1738925,63.9
235.4462733,63.7
242.0427711,89.7
252.3141317,64.2
262.5876837,64.2
269.1613872,91.3
279.4502265,62.9
289.7230139,64.5
300.000911,64.4
307.0841379,92.3
313.6956708,90.3
323.9784992,64.3
334.252979,68.9
344.542419,66.9
351.1655736,89.7
358.279742,92.2
368.5567539,64.2
378.8333273,64.1
389.1105912,64.2
399.3846569,63.5
409.6632435,63.2
416.2410972,89.6
423.3568389,91.9
429.9339919,88.9
436.9907012,91.6
443.773057,91.2
450.6471212,90.7
460.9212034,64
467.928381,92.1
478.2311556,59.4
488.5079513,68.7
495.7369692,92.9
502.4755955,91.5
512.7680383,62.4
519.8999145,92.2
530.1747332,64.9
536.7699776,89.8
547.0455718,64.8
554.1511188,92
564.4241536,63.7
574.6945765,63.7
584.970401,64.1
595.2451749,63.6
601.8164244,89.8
608.8596263,92.1
615.4558439,89.8
622.544024,92.3
632.8188703,64.9
643.0904336,63.9
653.3674741,70.6
663.6403766,63.6
670.2334595,89.7
677.3196754,92.1
687.5972643,64.3
697.8715158,64.6
704.5027196,89.6
711.6443279,92
718.3562179,89.5
725.5743976,92.1
732.6418095,92.3
739.2224152,89.9
749.5000341,65
759.7705822,64.2
766.4175291,91.3
773.3891468,92.2
780.5530038,92.4
790.8269196,64.2
801.1008964,65.1
808.0646095,92
818.3431909,65.3
828.6168048,64.8
838.8882778,64.1
849.1661499,63
859.4492598,63.3
869.7220888,62.4
876.4738579,90.8
883.6398358,92.3
890.2454612,89.7
